color,center,shape
blue,[44 21],rectangle
orange,[64 61],rectangle
gray,[11 63],rectangle
yellow,[27 29],rectangle
red,[61 45],rectangle
green,[69 19],circle
blue,[10 22],circle
orange,[47  6],rectangle
gray,[33 61],rectangle
yellow,[32  7],rectangle
red,[21 43],circle
green,[26 24],rectangle
blue,[45 59],rectangle
orange,[58 10],circle
gray,[49 39],circle
yellow,[ 6 63],circle
red,[41  5],circle
green,[23 52],circle
blue,[28 23],rectangle
orange,[67 45],circle
gray,[56 56],circle
yellow,[12 29],rectangle
red,[49 33],circle
green,[60 55],circle
blue,[34 10],rectangle
orange,[ 8 26],rectangle
gray,[ 8 59],rectangle
yellow,[34 46],rectangle
red,[33 20],rectangle
green,[12 53],rectangle
blue,[46 62],rectangle
orange,[61 21],circle
gray,[68 37],circle
yellow,[48 11],circle
red,[37 35],circle
green,[25 60],rectangle
blue,[61 43],circle
orange,[45 13],circle
gray,[62 16],circle
yellow,[19 11],rectangle
red,[56 65],circle
green,[ 6 17],rectangle
blue,[22 38],circle
orange,[38 61],circle
gray,[ 5 59],rectangle
yellow,[64 45],circle
red,[65 26],rectangle
green,[24  8],circle
blue,[41 45],rectangle
orange,[19 49],rectangle
gray,[37 16],circle
yellow,[ 5 29],rectangle
red,[53 41],rectangle
green,[21 44],circle
blue,[57 56],rectangle
orange,[33 67],rectangle
gray,[22 14],circle
yellow,[47 21],circle
red,[47  7],circle
green,[22 34],circle
blue,[21 62],rectangle
orange,[50 25],rectangle
gray,[38 68],rectangle
yellow,[65 69],rectangle
red,[52 18],rectangle
green,[68 10],rectangle
blue,[10 48],circle
orange,[20 25],rectangle
gray,[39 33],circle
yellow,[68 33],rectangle
red,[62 40],circle
green,[22 62],circle
blue,[24 43],circle
orange,[65 19],rectangle
gray,[20  8],rectangle
yellow,[49 68],rectangle
red,[25 51],rectangle
green,[67 13],circle
blue,[21 20],rectangle
orange,[46 14],circle
gray,[14 65],circle
yellow,[47 50],circle
red,[48 61],rectangle
green,[13 56],circle
blue,[24 44],rectangle
orange,[ 9 18],rectangle
gray,[58 41],circle
yellow,[30 69],rectangle
red,[9 9],rectangle
green,[27  6],rectangle
blue,[36 61],circle
orange,[ 7 25],rectangle
gray,[61 32],rectangle
yellow,[63 51],rectangle
red,[57 29],circle
green,[ 5 57],rectangle
blue,[58 50],circle
orange,[ 8 14],rectangle
gray,[12 34],circle
yellow,[49 67],circle
red,[51 10],circle
green,[61 39],circle
blue,[41 22],rectangle
orange,[23 33],circle
gray,[20 69],rectangle
yellow,[48 50],circle
red,[19 25],rectangle
green,[49 54],circle
blue,[68 64],circle
orange,[57 17],rectangle
gray,[55 32],circle
yellow,[11  6],circle
red,[56 32],rectangle
green,[68 54],circle
blue,[ 5 44],circle
orange,[38 28],rectangle
gray,[37 52],rectangle
yellow,[18 52],rectangle
red,[52 56],rectangle
green,[28 47],rectangle
blue,[19 10],rectangle
orange,[ 5 36],rectangle
gray,[67 34],circle
yellow,[51 25],circle
red,[59 28],circle
green,[19 17],circle
blue,[29 53],circle
orange,[39 10],circle
gray,[64 10],rectangle
yellow,[43 39],circle
red,[19 29],circle
green,[ 6 12],circle
blue,[48 51],circle
orange,[62 44],circle
gray,[ 6 46],circle
yellow,[66 24],rectangle
red,[68 16],circle
green,[41 32],circle
blue,[56 33],circle
orange,[47 60],circle
gray,[65 52],circle
yellow,[10 20],circle
red,[16 60],rectangle
green,[46 31],rectangle
blue,[12 10],rectangle
orange,[31 52],rectangle
gray,[64 40],rectangle
yellow,[53 69],circle
red,[25 31],rectangle
green,[30  7],rectangle
blue,[55 23],circle
orange,[64 11],rectangle
gray,[55 58],circle
yellow,[55 38],circle
red,[43  6],circle
green,[63 43],rectangle
blue,[21  7],circle
orange,[51 64],rectangle
gray,[21 39],rectangle
yellow,[29 59],circle
red,[17 25],rectangle
green,[28 38],rectangle
blue,[ 7 64],rectangle
orange,[56 17],circle
gray,[63 40],rectangle
yellow,[13  5],circle
red,[48 25],circle
green,[51 45],rectangle
blue,[64 63],circle
orange,[63 16],circle
gray,[29 40],circle
yellow,[35  8],circle
red,[39 64],circle
green,[17 25],circle
blue,[49 17],circle
orange,[64 67],circle
gray,[43 48],rectangle
yellow,[ 6 46],rectangle
red,[17 35],circle
green,[37 58],rectangle
blue,[68 63],rectangle
orange,[48 14],circle
gray,[56 35],circle
yellow,[ 5 50],circle
red,[42 42],rectangle
green,[34 64],rectangle
blue,[29 10],circle
orange,[56 63],circle
gray,[69 51],circle
yellow,[ 8 13],circle
red,[ 5 53],rectangle
green,[36 40],rectangle
blue,[54 11],rectangle
orange,[46 24],rectangle
gray,[37 12],rectangle
yellow,[17 15],circle
red,[6 8],circle
green,[43 18],rectangle
blue,[29 54],rectangle
orange,[11 52],rectangle
gray,[24  6],circle
yellow,[15 25],circle
red,[65  9],circle
green,[39 42],circle
blue,[45 20],rectangle
orange,[24 20],circle
gray,[ 7 58],rectangle
yellow,[68 48],circle
red,[62 30],rectangle
green,[36 39],circle
blue,[48 22],rectangle
orange,[51 55],rectangle
gray,[22 63],circle
yellow,[16 14],circle
red,[17 55],rectangle
green,[49 32],rectangle
blue,[60 63],rectangle
orange,[34 22],circle
gray,[51 14],rectangle
yellow,[43 53],rectangle
red,[58 25],circle
green,[21 20],rectangle
blue,[33 55],rectangle
orange,[61 64],rectangle
gray,[ 5 14],rectangle
yellow,[45 14],rectangle
red,[52 58],circle
green,[54 29],rectangle
blue,[31 55],circle
orange,[ 5 63],rectangle
gray,[34 26],rectangle
yellow,[60 14],rectangle
red,[43 47],rectangle
green,[68 29],circle
blue,[12 22],rectangle
orange,[12 38],rectangle
gray,[59 49],circle
yellow,[46  7],rectangle
red,[19 28],circle
green,[65 33],circle
blue,[14  8],circle
orange,[49 15],circle
gray,[68 50],circle
yellow,[33  7],circle
red,[68 28],circle
green,[37 11],circle
blue,[ 7 10],circle
orange,[18 51],rectangle
gray,[33 61],circle
yellow,[69 69],rectangle
red,[16 66],rectangle
green,[41 45],rectangle
blue,[21 27],rectangle
orange,[64 68],circle
gray,[69 16],rectangle
yellow,[23 45],rectangle
red,[36 30],rectangle
green,[54 56],circle
blue,[29 62],rectangle
orange,[25  6],circle
gray,[22 21],circle
yellow,[47 16],rectangle
red,[30 41],rectangle
green,[20 24],rectangle
blue,[19 54],circle
orange,[11 40],circle
gray,[45 18],circle
yellow,[32  7],rectangle
red,[47 31],rectangle
green,[58 44],circle
blue,[51 67],circle
orange,[31 35],rectangle
gray,[16 24],circle
yellow,[10 66],circle
red,[53 29],circle
green,[66 48],circle
blue,[10 59],circle
orange,[46 43],circle
gray,[13  5],circle
yellow,[ 7 40],circle
red,[38 48],rectangle
green,[62 51],circle
blue,[ 8 20],rectangle
orange,[ 9 52],rectangle
gray,[26 20],rectangle
yellow,[47 28],rectangle
red,[36 22],circle
green,[33 69],circle
blue,[69 57],rectangle
orange,[64 24],circle
gray,[20 57],rectangle
yellow,[18  6],rectangle
red,[60 17],circle
green,[35 23],circle
blue,[18 69],rectangle
orange,[16 47],circle
gray,[51 29],circle
yellow,[48 67],circle
red,[56 44],rectangle
green,[ 5 33],rectangle
blue,[18 14],circle
orange,[37 49],circle
gray,[34 11],rectangle
yellow,[22 57],rectangle
red,[26 33],rectangle
green,[61 24],circle
blue,[ 9 52],circle
orange,[19 68],circle
gray,[27 14],circle
yellow,[42 20],rectangle
red,[40 31],circle
green,[10 15],circle
blue,[40 66],circle
orange,[57 33],rectangle
gray,[61 15],rectangle
yellow,[12 59],rectangle
red,[48 23],rectangle
green,[29 69],rectangle
blue,[16 12],rectangle
orange,[46 60],rectangle
gray,[31  7],rectangle
yellow,[69 66],circle
red,[65  9],circle
green,[30 28],rectangle
blue,[30 57],circle
orange,[10 14],rectangle
gray,[12 30],rectangle
yellow,[ 5 49],rectangle
red,[ 8 27],rectangle
green,[35 27],rectangle
blue,[64 29],rectangle
orange,[21 13],rectangle
gray,[25 53],rectangle
yellow,[68 65],circle
red,[63 25],circle
green,[66 44],rectangle
blue,[51 49],rectangle
orange,[38 33],circle
gray,[17 57],rectangle
yellow,[32  9],circle
red,[29 34],rectangle
green,[ 7 22],rectangle
blue,[68 24],circle
orange,[42 14],circle
gray,[67  5],rectangle
yellow,[ 8 37],rectangle
red,[57 30],rectangle
green,[27 37],circle
blue,[47 51],circle
orange,[13 31],rectangle
gray,[34 20],rectangle
yellow,[56 12],circle
red,[10 58],circle
green,[64 25],rectangle
blue,[53  6],circle
orange,[41 27],rectangle
gray,[11 17],rectangle
yellow,[31 55],rectangle
red,[67 34],circle
green,[54 68],circle
blue,[27 10],rectangle
orange,[58 10],circle
gray,[34 42],rectangle
yellow,[12 25],circle
red,[35 30],circle
green,[ 8 60],circle
blue,[68 62],rectangle
orange,[20 14],circle
gray,[66 33],rectangle
yellow,[39 63],rectangle
red,[58 47],rectangle
green,[23 37],rectangle
blue,[60 13],rectangle
orange,[45 58],circle
gray,[67 32],rectangle
yellow,[37 14],rectangle
red,[14 66],rectangle
green,[15 48],rectangle
blue,[63 34],rectangle
orange,[24 21],rectangle
gray,[38 44],circle
yellow,[59 67],circle
red,[18 57],circle
green,[42 43],circle
blue,[56 31],rectangle
orange,[69 68],rectangle
gray,[ 8 16],rectangle
yellow,[37 68],rectangle
red,[51 27],circle
green,[19 32],circle
blue,[61 66],circle
orange,[28 52],circle
gray,[65 44],circle
yellow,[36 22],circle
red,[ 8 49],circle
green,[32 64],rectangle
blue,[52  9],rectangle
orange,[64 26],rectangle
gray,[30 49],circle
yellow,[49 67],rectangle
red,[26 58],circle
green,[68 32],circle
blue,[46 19],rectangle
orange,[51 36],rectangle
gray,[47 66],circle
yellow,[32 37],rectangle
red,[60  8],circle
green,[19 25],circle
blue,[21 62],circle
orange,[36 51],rectangle
gray,[41 36],circle
yellow,[64 29],rectangle
red,[11  8],circle
green,[39 43],rectangle
blue,[41 23],circle
orange,[19 57],rectangle
gray,[11 40],rectangle
yellow,[55 35],circle
red,[31 46],circle
green,[13 43],rectangle
blue,[37 25],rectangle
orange,[62 32],circle
gray,[ 5 21],circle
yellow,[ 7 68],rectangle
red,[48 54],circle
green,[25 57],rectangle
blue,[69 21],circle
orange,[13 30],circle
gray,[ 5 50],rectangle
yellow,[65 49],circle
red,[58 41],rectangle
green,[20 37],circle
blue,[69 29],rectangle
orange,[29 60],circle
gray,[25 14],rectangle
yellow,[ 9 61],circle
red,[ 6 61],circle
green,[ 7 41],circle
blue,[50 18],rectangle
orange,[26 44],rectangle
gray,[59 46],circle
yellow,[39 35],circle
red,[51  6],rectangle
green,[29 66],rectangle
blue,[69 54],circle
orange,[52 62],circle
gray,[44 23],rectangle
yellow,[16  5],circle
red,[35 16],rectangle
green,[51 28],rectangle
blue,[49 10],rectangle
orange,[62 53],rectangle
gray,[65 11],circle
yellow,[15 32],circle
red,[ 5 65],circle
green,[29 62],circle
blue,[23 41],rectangle
orange,[51 47],rectangle
gray,[26 10],circle
yellow,[64 67],circle
red,[16 42],circle
green,[43 56],circle
blue,[58 51],rectangle
orange,[45 38],circle
gray,[58 12],rectangle
yellow,[17 62],circle
red,[18 66],circle
green,[65 35],circle
blue,[62 60],circle
orange,[39 32],circle
gray,[41 68],rectangle
yellow,[ 6 27],circle
red,[19 14],rectangle
green,[29 46],rectangle
blue,[67 66],rectangle
orange,[55 37],circle
gray,[19 30],circle
yellow,[46 59],rectangle
red,[59 67],circle
green,[ 5 25],circle
blue,[28 13],rectangle
orange,[28 58],circle
gray,[49 44],rectangle
yellow,[68 10],circle
red,[27 68],circle
green,[33 40],rectangle
blue,[25 14],rectangle
orange,[18 44],rectangle
gray,[50  8],rectangle
yellow,[52 64],rectangle
red,[40 53],rectangle
green,[39 11],circle
blue,[14 36],rectangle
orange,[ 6 64],circle
gray,[67  5],rectangle
yellow,[42 35],rectangle
red,[47 39],circle
green,[49 66],circle
blue,[29 62],rectangle
orange,[12  6],rectangle
gray,[65 24],circle
yellow,[66 52],circle
red,[64 17],rectangle
green,[40 64],rectangle
blue,[31 46],circle
orange,[13 12],rectangle
gray,[53  6],circle
yellow,[54 37],rectangle
red,[21 53],rectangle
green,[43 68],circle
blue,[25 37],circle
orange,[51 45],circle
gray,[49  6],rectangle
yellow,[ 9 13],rectangle
red,[ 9 56],circle
green,[54 35],circle
blue,[33  7],circle
orange,[67 13],rectangle
gray,[67 57],circle
yellow,[40 58],circle
red,[ 5 66],circle
green,[26 18],circle
blue,[60 59],circle
orange,[44 22],circle
gray,[39  5],circle
yellow,[39 67],rectangle
red,[ 5 21],rectangle
green,[33 35],circle
blue,[63 62],circle
orange,[68  6],rectangle
gray,[52  7],rectangle
yellow,[48 24],rectangle
red,[63 18],circle
green,[22 44],rectangle
blue,[36 52],circle
orange,[68 46],circle
gray,[44 37],rectangle
yellow,[10  6],circle
red,[12 43],circle
green,[39 37],circle
blue,[ 6 58],circle
orange,[62 68],circle
gray,[64 44],rectangle
yellow,[68 21],circle
red,[53 50],circle
green,[36 38],circle
blue,[ 7 57],circle
orange,[23 14],circle
gray,[59 23],rectangle
yellow,[43 11],circle
red,[31  7],rectangle
green,[50 20],circle
blue,[53 69],rectangle
orange,[19 36],circle
gray,[9 6],circle
yellow,[63 44],rectangle
red,[14 62],circle
green,[56 37],circle
blue,[19 27],rectangle
orange,[21  9],rectangle
gray,[42 53],circle
yellow,[15 45],circle
red,[23 60],circle
green,[19 24],rectangle
blue,[66 30],circle
orange,[25 44],rectangle
gray,[52  6],rectangle
yellow,[39 17],rectangle
red,[60 12],rectangle
green,[35  6],rectangle
blue,[27 69],rectangle
orange,[13 59],rectangle
gray,[33 51],rectangle
yellow,[49 57],rectangle
red,[14 18],circle
green,[44 52],circle
blue,[21 39],circle
orange,[53 26],rectangle
gray,[38 29],circle
yellow,[55 67],rectangle
red,[9 5],circle
green,[11 34],rectangle
blue,[49 51],rectangle
orange,[54 66],circle
gray,[ 6 51],rectangle
yellow,[33 23],rectangle
red,[49 48],rectangle
green,[28 19],circle
blue,[ 9 44],rectangle
orange,[17 60],circle
gray,[58 65],rectangle
yellow,[11 24],circle
red,[14 66],circle
green,[30 61],circle
blue,[25 33],rectangle
orange,[7 7],rectangle
gray,[63  6],circle
yellow,[56 55],rectangle
red,[52 13],rectangle
green,[24 26],rectangle
blue,[58 53],circle
orange,[33 47],circle
gray,[ 5 66],circle
yellow,[16 41],rectangle
red,[58 67],rectangle
green,[23 69],rectangle
blue,[36 29],circle
orange,[ 9 56],circle
gray,[69 32],circle
yellow,[31 56],circle
red,[38 37],circle
green,[20 53],rectangle
blue,[46 21],circle
orange,[17 33],rectangle
gray,[66 61],circle
yellow,[67 43],rectangle
red,[24 35],circle
green,[18  8],rectangle
blue,[52 20],circle
orange,[69 42],rectangle
gray,[67 21],circle
yellow,[56 52],circle
red,[55  9],circle
green,[25 51],rectangle
blue,[ 5 43],circle
orange,[ 8 59],rectangle
gray,[62 25],circle
yellow,[39 37],circle
red,[40 38],rectangle
green,[17 30],circle
blue,[60  6],circle
orange,[24  7],rectangle
gray,[61 25],rectangle
yellow,[40 12],circle
red,[39 46],circle
green,[16 17],circle
blue,[53 53],circle
orange,[56 17],circle
gray,[37  9],rectangle
yellow,[68 35],rectangle
red,[12  6],rectangle
green,[34 68],circle
blue,[14 24],rectangle
orange,[22 40],rectangle
gray,[59 30],rectangle
yellow,[65 60],rectangle
red,[67 12],rectangle
green,[51 54],rectangle
blue,[12  8],rectangle
orange,[24 22],rectangle
gray,[55 36],circle
yellow,[14 59],circle
red,[31 45],rectangle
green,[ 6 68],circle
blue,[42 64],circle
orange,[62 35],circle
gray,[ 7 28],circle
yellow,[64 52],circle
red,[24 10],rectangle
green,[66 50],rectangle
blue,[60 21],circle
orange,[43 60],circle
gray,[68  5],rectangle
yellow,[ 9 19],circle
red,[56 35],rectangle
green,[32 56],rectangle
blue,[13 57],circle
orange,[46 22],rectangle
gray,[60 69],rectangle
yellow,[67  5],circle
red,[58 55],rectangle
green,[24  5],circle
blue,[48 68],circle
orange,[68 33],rectangle
gray,[43 24],circle
yellow,[47  7],rectangle
red,[60  7],circle
green,[29 17],rectangle
blue,[18 44],circle
orange,[52 55],circle
gray,[66 44],rectangle
yellow,[52 28],rectangle
red,[63 66],rectangle
green,[65 45],circle
blue,[30 28],rectangle
orange,[47 42],rectangle
gray,[37  8],circle
yellow,[22 58],rectangle
red,[16 47],circle
green,[27 64],circle
blue,[ 6 13],rectangle
orange,[34 13],circle
gray,[21 32],circle
yellow,[50 65],circle
red,[29 12],circle
green,[41 60],circle
blue,[34 32],rectangle
orange,[56 54],rectangle
gray,[50 33],rectangle
yellow,[69 64],circle
red,[31 22],rectangle
green,[10 42],circle
blue,[62 18],rectangle
orange,[24 60],rectangle
gray,[43 64],rectangle
yellow,[46 16],circle
red,[60 40],rectangle
green,[35 30],circle
blue,[44 55],circle
orange,[10 64],rectangle
gray,[10  6],rectangle
yellow,[58 65],rectangle
red,[16 54],rectangle
green,[36 30],rectangle
blue,[ 8 29],circle
orange,[60 35],circle
gray,[27 66],circle
yellow,[63 11],circle
red,[42 29],circle
green,[22  8],circle
blue,[44  6],circle
orange,[48 49],rectangle
gray,[25 55],rectangle
yellow,[33 68],rectangle
red,[41 27],rectangle
green,[36 45],rectangle
blue,[15 54],rectangle
orange,[55 12],circle
gray,[59 60],rectangle
yellow,[42 62],circle
red,[58 35],rectangle
green,[40 25],rectangle
blue,[28 50],rectangle
orange,[43 66],circle
gray,[59 59],circle
yellow,[15 61],rectangle
red,[39 46],rectangle
green,[58  6],circle
blue,[62 21],circle
orange,[69 37],rectangle
gray,[32 26],circle
yellow,[58 59],circle
red,[55 41],rectangle
green,[16 57],circle
blue,[68  8],circle
orange,[ 7 28],circle
gray,[22  9],circle
yellow,[64 53],rectangle
red,[29 37],circle
green,[67 26],circle
blue,[53 65],rectangle
orange,[ 6 46],circle
gray,[60 12],rectangle
yellow,[27 14],rectangle
red,[35 56],rectangle
green,[60 30],circle
blue,[26 44],circle
orange,[36 17],circle
gray,[58 10],rectangle
yellow,[51 53],circle
red,[33 49],circle
green,[ 9 36],rectangle
blue,[57 38],rectangle
orange,[43 15],circle
gray,[63 68],circle
yellow,[60  6],rectangle
red,[44 27],circle
green,[ 8 67],circle
blue,[22 20],rectangle
orange,[ 9 34],rectangle
gray,[46 44],rectangle
yellow,[38  9],rectangle
red,[14 19],circle
green,[10 48],rectangle
blue,[52 15],rectangle
orange,[47 37],rectangle
gray,[42 63],circle
yellow,[68 14],rectangle
red,[12 69],circle
green,[13 10],circle
blue,[49 42],rectangle
orange,[14 53],rectangle
gray,[37 23],circle
yellow,[32 68],rectangle
red,[19  5],rectangle
green,[21 22],rectangle
blue,[40  5],rectangle
orange,[11 65],rectangle
gray,[52 66],rectangle
yellow,[53 42],circle
red,[41 34],rectangle
green,[14 45],circle
blue,[46 69],rectangle
orange,[13 26],rectangle
gray,[29 46],rectangle
yellow,[66 24],rectangle
red,[40 24],circle
green,[45 47],rectangle
blue,[19 12],circle
orange,[59 24],rectangle
gray,[11 58],rectangle
yellow,[60 61],rectangle
red,[17 15],circle
green,[48 29],rectangle
blue,[ 6 69],rectangle
orange,[38 55],rectangle
gray,[55 53],rectangle
yellow,[64  5],circle
red,[49  5],rectangle
green,[ 8 30],rectangle
blue,[40 65],circle
orange,[27 14],rectangle
gray,[46 24],circle
yellow,[62 53],rectangle
red,[55 57],rectangle
green,[ 6 32],circle
blue,[22 37],rectangle
orange,[30 20],rectangle
gray,[31 50],circle
yellow,[13 17],rectangle
red,[62 63],rectangle
green,[21 33],rectangle
blue,[ 6 42],rectangle
orange,[65 18],circle
gray,[16  7],rectangle
yellow,[49 40],circle
red,[ 9 29],circle
green,[42 39],circle
blue,[67 30],rectangle
orange,[30  5],rectangle
gray,[ 5 62],rectangle
yellow,[42 56],circle
red,[11 34],rectangle
green,[53 31],rectangle
blue,[16 12],rectangle
orange,[24 66],rectangle
gray,[40 40],circle
yellow,[ 6 52],circle
red,[63 68],circle
green,[37 60],rectangle
blue,[61 15],circle
orange,[ 9 57],rectangle
gray,[13 36],circle
yellow,[24 48],rectangle
red,[50 60],rectangle
green,[39 20],circle
blue,[58 41],circle
orange,[31 49],circle
gray,[68 16],rectangle
yellow,[26 12],circle
red,[55 45],circle
green,[55 30],rectangle
blue,[64 10],rectangle
orange,[ 8 56],rectangle
gray,[25 41],circle
yellow,[42 64],rectangle
red,[26 17],circle
green,[39 53],rectangle
blue,[ 5 33],circle
orange,[22 62],circle
gray,[53 46],circle
yellow,[54 13],circle
red,[55 30],circle
green,[23 38],rectangle
blue,[11 61],rectangle
orange,[40 49],rectangle
gray,[65 49],circle
yellow,[68 16],rectangle
red,[8 5],rectangle
green,[58 65],circle
blue,[53  8],circle
orange,[19 28],rectangle
gray,[ 5 60],circle
yellow,[28 52],rectangle
red,[11 19],rectangle
green,[50 41],circle
blue,[30 13],rectangle
orange,[33 45],circle
gray,[21 61],rectangle
yellow,[69 59],rectangle
red,[34 14],circle
green,[69 24],rectangle
blue,[60 39],circle
orange,[41 57],rectangle
gray,[21 27],rectangle
yellow,[ 5 12],rectangle
red,[14 45],circle
green,[62  8],rectangle
blue,[32 68],circle
orange,[49 37],circle
gray,[17 29],circle
yellow,[48 57],rectangle
red,[40 18],rectangle
green,[6 7],rectangle
blue,[37 49],rectangle
orange,[25 11],rectangle
gray,[60 24],circle
yellow,[12 47],circle
red,[46 17],circle
green,[35 33],rectangle
blue,[16 45],circle
orange,[63 12],circle
gray,[69 34],rectangle
yellow,[12  7],circle
red,[26 39],circle
green,[65  8],rectangle
blue,[22 22],rectangle
orange,[35 69],circle
gray,[52 53],rectangle
yellow,[69 36],rectangle
red,[50 50],circle
green,[62 28],rectangle
blue,[38 66],rectangle
orange,[15  9],rectangle
gray,[26 22],rectangle
yellow,[17 62],rectangle
red,[16 43],circle
green,[54 69],circle
blue,[39 20],circle
orange,[65 52],rectangle
gray,[69 36],rectangle
yellow,[32 49],rectangle
red,[51 38],rectangle
green,[10 14],circle
blue,[35 55],rectangle
orange,[29 21],circle
gray,[67  6],rectangle
yellow,[17 67],rectangle
red,[43 28],rectangle
green,[59 12],rectangle
blue,[13 53],rectangle
orange,[60 29],rectangle
gray,[50 53],rectangle
yellow,[32 52],rectangle
red,[50 19],circle
green,[10 67],circle
blue,[61 42],rectangle
orange,[32 60],circle
gray,[10 37],circle
yellow,[11 11],rectangle
red,[48 63],circle
green,[24 61],rectangle
blue,[13 49],rectangle
orange,[48 12],rectangle
gray,[61 27],circle
yellow,[19  7],rectangle
red,[19 12],circle
green,[14 40],rectangle
blue,[65 40],circle
orange,[27 62],circle
gray,[52 12],circle
yellow,[42 51],circle
red,[52 33],rectangle
green,[54 13],circle
blue,[32 59],rectangle
orange,[11 53],circle
gray,[63 57],rectangle
yellow,[25 43],rectangle
red,[8 7],circle
green,[57 29],circle
blue,[49 62],circle
orange,[30 25],circle
gray,[ 9 69],rectangle
yellow,[69 62],rectangle
red,[20 61],rectangle
green,[56 25],rectangle
blue,[ 5 54],rectangle
orange,[67 43],rectangle
gray,[38 58],circle
yellow,[65 65],circle
red,[13 14],circle
green,[56 39],rectangle
blue,[23 34],rectangle
orange,[53  8],rectangle
gray,[65 52],circle
yellow,[ 5 68],circle
red,[24 25],rectangle
green,[47 32],rectangle
blue,[ 6 25],circle
orange,[10 45],rectangle
gray,[40 55],circle
yellow,[43 13],rectangle
red,[44 49],rectangle
green,[22 20],circle
blue,[13  6],rectangle
orange,[ 9 43],rectangle
gray,[54 64],rectangle
yellow,[68 32],circle
red,[42 12],circle
green,[47 69],circle
blue,[57 48],circle
orange,[40 43],circle
gray,[30 63],circle
yellow,[19 18],circle
red,[58 37],circle
green,[32 13],rectangle
blue,[11 64],circle
orange,[49 17],circle
gray,[ 7 13],circle
yellow,[11 34],circle
red,[14 60],rectangle
green,[35 14],circle
blue,[61 20],circle
orange,[60 54],rectangle
gray,[ 6 13],circle
yellow,[35 58],rectangle
red,[32 16],circle
green,[50 65],circle
blue,[16 25],rectangle
orange,[55 24],circle
gray,[65 42],rectangle
yellow,[45 49],rectangle
red,[33 35],circle
green,[47 65],circle
blue,[24 55],circle
orange,[38 20],rectangle
gray,[61  9],circle
yellow,[15 37],circle
red,[52 30],rectangle
green,[34 65],rectangle
blue,[37 38],circle
orange,[ 6 66],rectangle
gray,[68 15],circle
yellow,[19  7],circle
red,[34  6],rectangle
green,[34 21],rectangle
blue,[42 42],circle
orange,[12  8],circle
gray,[57 25],circle
yellow,[18 36],rectangle
red,[ 9 50],circle
green,[60 10],circle
blue,[ 6 20],circle
orange,[63 37],rectangle
gray,[30 45],circle
yellow,[38 63],circle
red,[60 15],circle
green,[44 67],rectangle
blue,[24 53],circle
orange,[30 32],rectangle
gray,[54 51],circle
yellow,[ 7 47],rectangle
red,[ 8 45],circle
green,[33 30],circle
blue,[22 59],rectangle
orange,[64 29],rectangle
gray,[42 56],rectangle
yellow,[46  6],rectangle
red,[60 29],circle
green,[47 13],rectangle
blue,[59 59],rectangle
orange,[ 6 68],circle
gray,[22 55],circle
yellow,[19 32],rectangle
red,[47 16],rectangle
green,[65 55],circle
blue,[39 32],rectangle
orange,[34 47],circle
gray,[62 11],rectangle
yellow,[18 32],rectangle
red,[ 9 22],circle
green,[66  9],circle
blue,[41 50],circle
orange,[56 66],circle
gray,[33  5],rectangle
yellow,[38 25],rectangle
red,[48 34],circle
green,[10 22],rectangle
blue,[37  5],rectangle
orange,[32 53],rectangle
gray,[29 29],circle
yellow,[ 9 64],circle
red,[51 39],rectangle
green,[18 27],circle
blue,[ 9 46],rectangle
orange,[64 14],rectangle
gray,[36 43],rectangle
yellow,[26  9],circle
red,[31 19],rectangle
green,[66 36],rectangle
blue,[66 20],circle
orange,[10 60],circle
gray,[57 52],circle
yellow,[61 67],circle
red,[26 64],circle
green,[39 18],rectangle
blue,[62 63],rectangle
orange,[61 37],rectangle
gray,[10 69],circle
yellow,[23 41],rectangle
red,[18 32],circle
green,[60 28],circle
blue,[43  5],rectangle
orange,[11 11],circle
gray,[59 63],circle
yellow,[11 66],circle
red,[23 31],circle
green,[26  5],rectangle
blue,[58 45],circle
orange,[48  9],circle
gray,[37 56],circle
yellow,[11 18],rectangle
red,[46 26],circle
green,[69 32],rectangle
blue,[23 63],circle
orange,[30 27],circle
gray,[25 10],rectangle
yellow,[ 7 69],circle
red,[18 19],circle
green,[32 69],circle
blue,[49 37],circle
orange,[17 38],rectangle
gray,[49 62],circle
yellow,[13 53],rectangle
red,[36 39],circle
green,[66 28],circle
blue,[20 44],circle
orange,[53 50],circle
gray,[35 14],circle
yellow,[55  5],circle
red,[40 20],rectangle
green,[49 40],circle
blue,[19 52],rectangle
orange,[ 8 37],rectangle
gray,[69 56],circle
yellow,[39 66],rectangle
red,[27 36],circle
green,[54 64],rectangle
blue,[32  5],rectangle
orange,[50 23],rectangle
gray,[18 17],rectangle
yellow,[45 52],rectangle
red,[16 14],circle
green,[39 65],rectangle
blue,[67 20],rectangle
orange,[34 25],rectangle
gray,[ 5 59],circle
yellow,[34  9],rectangle
red,[32 48],rectangle
green,[13 41],circle
blue,[10 26],circle
orange,[31  5],rectangle
gray,[48 22],circle
yellow,[11 66],rectangle
red,[42 36],circle
green,[11 60],circle
blue,[48 56],circle
orange,[30 66],rectangle
gray,[16 24],rectangle
yellow,[57 31],rectangle
red,[68 30],circle
green,[67 50],circle
blue,[18 40],circle
orange,[68 15],rectangle
gray,[34 41],rectangle
yellow,[52 14],circle
red,[22 14],circle
green,[37 48],circle
blue,[15 56],circle
orange,[53 56],rectangle
gray,[55 35],rectangle
yellow,[41 29],circle
red,[38 59],rectangle
green,[52 44],rectangle
blue,[18 60],circle
